# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: lonelyfloater
# Property: Lonely Floater - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20160101
# End date: 20250825
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/collections/travis-micheal-x-lonely-floater-family-business/products/travis-michael-x-lonely-floater-family-business-unisex-hoodie,16,7,2.2857142857142856,39,44,3,0
/pages/profiles,16,16,1,11.9375,57,0,0
/pages/shipping-returns-policy,16,16,1,17.25,53,0,0
/collections/lunar-return/products/lonely-floater-lunar-return-dad-hat,15,8,1.875,11.25,45,3,0
/collections/lunar-return/products/olive-camo-all-over-print-bandana,15,15,1,11.466666666666667,48,0,0
/pages/motz-art,15,12,1.25,6.5,51,0,0
/products/mkga-make-kanye-great-again-snapback,15,9,1.6666666666666667,26.555555555555557,53,0,0
/products/nope-tee-short-sleeve-unisex-t-shirt,15,6,2.5,71.83333333333333,37,0,0
/collections/pre-flight,14,13,1.0769230769230769,16.46153846153846,53,2,0
/pages/theheavyone,14,12,1.1666666666666667,31.916666666666668,60,0,0
/collections/tops,13,9,1.4444444444444444,10.222222222222221,40,4,0
/collections/travis-micheal-x-lonely-floater-family-business/products/travis-michael-x-lonely-floater-family-business-sweatshirt,13,8,1.625,63.375,35,1,0
/products/copy-of-fs-gen2-dnm-1,13,12,1.0833333333333333,6.666666666666667,60,0,0
/products/grey-on-black-fish-scale-wallet,13,6,2.1666666666666665,10,30,0,0
/collections/travis-micheal-x-lonely-floater-family-business/products/travis-michael-x-lonely-floater-punky-family-business-dad-hat,12,9,1.3333333333333333,47.888888888888886,34,2,0
/collections/urban-dreamer,12,11,1.0909090909090908,9.727272727272727,47,3,0
/products/lmnt-leggings-x,12,7,1.7142857142857142,11,33,0,0
/products/main-idea-snapback-hat,12,5,2.4,45.2,35,0,0
/products/mkga,12,9,1.3333333333333333,9.88888888888889,47,0,0
/products/natural-moonstone-sunstone-labradorite-pendant-12-faceted-single-point-pendulum-divination-devotional-meditation,12,11,1.0909090909090908,18.363636363636363,52,0,0
/products/vision-quest-hoodie,12,12,1,1.0833333333333333,45,0,0
/collections/solarflare,11,10,1.1,16.6,41,1,0
/collections/travis-micheal-x-lonely-floater-family-business/products/lonely-floater-x-travis-michael-duffle-bag,11,8,1.375,80.375,39,2,0
/collections/travis-micheal-x-lonely-floater-family-business/products/travis-michael-x-lonely-floater-family-business-camo-splash-unisex-hoodie,11,8,1.375,47.25,29,1,0
/collections/travis-micheal-x-lonely-floater-family-business/products/travis-micheal-x-lonely-floater-family-business-short-sleeve-unisex-t-shirt,11,4,2.75,31.75,28,2,0
/collections/verado,11,10,1.1,3.8,57,10,0
/pages/concrete,11,11,1,4.636363636363637,31,0,0
/products/lfxnyc-organic-ribbed-beanie,11,11,1,0.09090909090909091,41,0,0
/products/skeye,11,11,1,0.8181818181818182,42,0,0
/collections/sdubd/products/moonlight-mirage-2022-unisex-hoodie,10,5,2,44.4,29,1,0
/collections/shop-all/products/introvert-backpack,10,9,1.1111111111111112,5.555555555555555,50,9,0
/products/lamont-gen2,10,10,1,0.9,36,0,0
/products/not-a-day-unisex-hoodie,10,10,1,0.3,37,0,0
/cart,9,6,1.5,10,21,0,0
/collections/first-flight-saga/dad-hats+green-brim+moon+red+snapback+pre-flight,9,9,1,0,43,9,0
/collections/sweaters-hoodies/products/womens-tropicamo-crop-hoodie,9,2,4.5,25.5,22,1,0
/collections/travis-micheal-x-lonely-floater-family-business/products/dad-hat-1,9,6,1.5,53.166666666666664,28,4,0
/pages/digital-millennium-copyright-act-dmca-compliance,9,9,1,0.7777777777777778,30,0,0
/products/earth-women-s-cropped-windbreaker,9,6,1.5,10.5,23,0,0
/products/fishscale-floata-v-neck-mens-t-shirt,9,9,1,0,28,0,0
/collections/all/products/lamont-bucket-hat,8,8,1,0,39,8,0
/collections/lunar-return/products/forgotten-vision-bucket,8,6,1.3333333333333333,10.833333333333334,22,0,0
/collections/womens/products/lmnt-leggings-x,8,7,1.1428571428571428,5.285714285714286,32,6,0
/products/white-lf-bikini-top,8,8,1,11.875,34,0,0
/products/ying-yang-t,8,8,1,1.875,28,0,0
/challenge,7,6,1.1666666666666667,25.5,21,0,0
/collections/all/products/strange-vibez-long-sleeve-t-shirt,7,7,1,0,32,7,0
/collections/sweaters-hoodies/products/champion-x-lonely-floater-sweatshirt,7,2,3.5,56.5,17,0,0
/collections/sweatspants-joggers,7,6,1.1666666666666667,16.833333333333332,29,1,0
/pages/lo,7,6,1.1666666666666667,18.5,17,0,0
/products/leather-charm-friendship-bracelets-bangles-feather-accessories-wedding-jewelry,7,5,1.4,41.8,26,0,0
/products/mysterybox,7,7,1,0,24,0,0
/products/womens-ego-death-blk,7,6,1.1666666666666667,13.166666666666666,29,0,0
/products/young-souls-x-lfxnyc-dad-hat,7,7,1,0.42857142857142855,23,0,0
/collections/bottoms,6,5,1.2,23.2,20,1,0
/collections/mens/products/floater-unisex-joggers,6,2,3,10.5,14,0,0
/collections/shop-all/products/boxing-mma-hand-wraps,6,2,3,57.5,25,4,0
/collections/shop-all/products/lonely-floater-saga-1-first-flight-comic-book,6,4,1.5,13.5,22,3,0
/collections/sweatspants-joggers/products/floater-unisex-joggers,6,3,2,69,17,0,0
/collections/travis-micheal-x-lonely-floater-family-business/products/travis-michael-x-lonely-floater-family-business-mens-fleece-shorts,6,3,2,19.333333333333332,15,0,0
/collections/womens/products/tropicamo-kimono,6,2,3,22.5,14,0,0
/collections/womens/products/women-s-i-can-do-bad-by-myself-crop-hoodie,6,3,2,5.333333333333333,12,0,0
/pages/auxnm,6,7,0.8571428571428571,4.142857142857143,20,0,0
/products/black-fish-scale-wallet,6,6,1,9.333333333333334,25,0,0
/products/bolo-clarke-five-panel-cap,6,7,0.8571428571428571,14.428571428571429,25,0,0
